id,name,age,stats,height,weight,squad_number
71711,Leander Dendoncker,30,87.0,188.0,78,20.0
71971,Clément Nicolas Laurent Lenglet,30,89.0,185.0,80,15.0
72275,Iñigo Lekue Martínez,32,87.0,180.0,72,15.0
72282,Álvaro Odriozola Arzallus,29,83.0,178.0,74,20.0
72649,Iñaki Williams Arthuer,31,90.0,186.0,81,9.0
72699,Luis Jesús Rioja González,31,87.0,173.0,65,22.0
73406,Gonçalo Manuel Ganchinho Guedes,28,87.0,179.0,73,11.0
73530,David Soria Solís,32,88.0,192.0,85,13.0
74220,José Antonio Fernández Pomares,35,83.0,176.0,68,17.0
74636,Antonio Sivera Salva,29,87.0,185.0,76,1.0
74856,Pau López Sabata,30,87.0,189.0,77,25.0
75014,Mihailo Ristić,29,84.0,183.0,73,21.0
75015,Gerard Gumbau Garriga,30,85.0,188.0,77,15.0
75052,Alejandro Remiro Gargallo,30,90.0,192.0,79,1.0
75056,Mikel Vesga Arruti,32,88.0,191.0,86,6.0
75126,Alexander Sørloth,29,91.0,193.0,90,9.0
75399,Carl Starfelt,30,87.0,185.0,80,2.0
75404,Lucas Boyé,29,86.0,182.0,80,15.0
75427,Eric Bertrand Bailly,31,86.0,187.0,77,2.0
75562,Luis Alfonso Espino García,33,86.0,171.0,71,22.0
76222,Daniel Ceballos Fernández,29,89.0,176.0,65,19.0
76249,Alejandro Berenguer Remiro,30,88.0,175.0,69,7.0
77081,Sheraldo Rudi Salomo Willem Becker,30,87.0,180.0,75,18.0
77118,Sofyan Amrabat,29,89.0,185.0,77,14.0
78373,Domingos Sousa Coutinho Meneses Duarte,30,85.0,190.0,78,22.0
78518,Mouctar Diakhaby,28,86.0,192.0,78,4.0
78618,Vedat Muriqi,31,89.0,194.0,90,7.0
79249,Joan Jordán Moreno,31,86.0,184.0,74,8.0
79262,Marcos Llorente Moreno,30,91.0,183.0,68,14.0
79263,Javier Muñoz Jiménez,30,85.0,177.0,71,14.0
79371,Yeray Álvarez López,30,88.0,183.0,77,5.0
79606,Augusto Martín Batalla Barga,29,87.0,185.0,79,13.0
79810,Borja Mayoral Moya,28,88.0,182.0,68,9.0
79874,Daniel Olmo Carvajal,27,92.0,179.0,72,20.0
80041,Franco Emanuel Cervi,31,84.0,166.0,63,11.0
80069,Donny Van De Beek,28,86.0,183.0,76,6.0
80089,Juan Agustín Musso,31,88.0,191.0,90,1.0
81249,Santiago Federico Valverde Dipetta,27,94.0,182.0,78,8.0
81586,Nicolas Pépé,30,88.0,183.0,73,19.0
81672,Alfonso Pedraza Sag,29,88.0,184.0,73,24.0
81819,Álvaro Lemos Collazo,32,82.0,175.0,72,2.0
82006,Giovani Lo Celso,29,90.0,177.0,69,20.0
82275,Frenkie De Jong,28,93.0,181.0,74,21.0
82337,Ferland Sinna Mendy,30,90.0,180.0,73,23.0
82357,Aleix Febas Pérez,29,84.0,171.0,64,14.0
82361,Daniel Pedro Calvo San Román,31,83.0,190.0,82,12.0
82373,Djibril Sow,28,88.0,184.0,77,20.0
82774,Carles Aleña Castillo,27,87.0,180.0,73,10.0
82826,Ionuț Andrei Radu,28,85.0,188.0,79,13.0
82837,Pablo Carmine Maffeo Becerra,28,87.0,172.0,70,23.0
83451,Luis Milla Manzanares,30,87.0,173.0,69,5.0
83503,Isaac Palazón Camacho,30,88.0,176.0,69,7.0
83783,Josip Brekalo,27,86.0,180.0,72,18.0
83818,Joseph Aidoo,29,85.0,185.0,80,4.0
84044,José Luis García Vayá,27,88.0,185.0,70,18.0
84224,Rafael Mir Vicente,28,85.0,191.0,86,10.0
84382,Antonio Latorre Grueso,27,84.0,180.0,75,3.0
84384,Marcus Rashford,27,92.0,185.0,75,14.0
84483,Pablo Fornals Malla,29,89.0,178.0,67,8.0
84680,Umar Sadiq Mesbah,28,87.0,192.0,75,15.0
84780,Aarón Escandell Banacloche,29,83.0,188.0,72,13.0
84791,Mikel Oyarzabal Ugarte,28,92.0,181.0,75,10.0
84856,Santiago Comesaña Veiga,28,89.0,188.0,75,14.0
84933,Gabriel Alonso Suazo Urbina,28,85.0,181.0,72,12.0
85260,Kylian Mbappé Lottin,26,95.5,178.0,73,10.0
85284,Héctor Júnior Firpo Adamés,29,86.0,184.0,78,23.0
85672,Nahuel Molina Lucero,27,91.0,175.0,70,16.0
85898,Santiago Colombatto,28,83.0,179.0,71,11.0
86400,Eray Ervin Cömert,27,86.0,185.0,80,24.0
86427,Antonio Martínez López,28,85.0,187.0,71,11.0
86919,Carlos Soler Barragán,28,88.0,183.0,75,18.0
86921,Igor Zubeldia Elorza,28,89.0,185.0,78,5.0
86950,Yangel Clemente Herrera Ravelo,27,90.0,184.0,78,12.0
86990,Marcos Do Nascimento Teixeira,29,86.0,185.0,81,23.0
87141,Valentin André Henri Rosier,29,86.0,175.0,70,19.0
87144,Unai Elgezabal Udondo,32,83.0,185.0,74,5.0
87643,Marc Roca Junqué,28,89.0,184.0,75,21.0
87870,Raphael Dias Belloli,28,94.0,176.0,67,11.0
87941,Brahim Abdelkader Díaz,26,90.0,170.0,68,21.0
87943,Oviemuno Dominic Ejaria,27,78.0,183.0,74,14.0
